Date,Open,High,Low,Close,Adj Close,Volume
2/1/2018,10237.29981,11958.5,6048.259766,10397.90039,10397.90039,2.30E+11
3/1/2018,10385,11704.09961,6683.930176,6973.529785,6973.529785,1.94E+11
4/1/2018,7003.060059,9745.320313,6526.870117,9240.549805,9240.549805,1.97E+11
5/1/2018,9251.469727,9964.5,7090.680176,7494.169922,7494.169922,1.98E+11
6/1/2018,7500.700195,7754.890137,5826.410156,6404,6404,1.30E+11
7/1/2018,6411.680176,8424.269531,6136.419922,7780.439941,7780.439941,1.41E+11
8/1/2018,7769.040039,7769.040039,5971.049805,7037.580078,7037.580078,1.32E+11
9/1/2018,7044.810059,7388.430176,6197.52002,6625.560059,6625.560059,1.30E+11
10/1/2018,6619.850098,6965.060059,6236.470215,6317.609863,6317.609863,1.18E+11
11/1/2018,6318.140137,6552.160156,3585.060059,4017.268555,4017.268555,1.58E+11
12/1/2018,4024.464355,4309.377441,3191.303467,3742.700439,3742.700439,1.69E+11
1/1/2019,3746.713379,4109.020996,3400.819824,3457.792725,3457.792725,1.67E+11
2/1/2019,3460.547119,4210.641602,3391.023682,3854.7854,3854.7854,1.99E+11
3/1/2019,3853.75708,4296.806641,3733.749756,4105.404297,4105.404297,2.98E+11
4/1/2019,4105.362305,5642.044434,4096.901367,5350.726563,5350.726563,4.45E+11
5/1/2019,5350.914551,9008.314453,5347.645996,8574.501953,8574.501953,7.24E+11
6/1/2019,8573.839844,13796.48926,7564.48877,10817.15527,10817.15527,6.76E+11
7/1/2019,10796.93066,13129.5293,9163.134766,10085.62793,10085.62793,6.76E+11
8/1/2019,10077.44238,12273.82129,9421.629883,9630.664063,9630.664063,5.34E+11
9/1/2019,9630.592773,10898.76172,7830.758789,8293.868164,8293.868164,4.81E+11
10/1/2019,8299.720703,10021.74414,7446.98877,9199.584961,9199.584961,5.95E+11
11/1/2019,9193.992188,9505.051758,6617.166992,7569.629883,7569.629883,6.77E+11
12/1/2019,7571.616211,7743.431641,6540.049316,7193.599121,7193.599121,6.34E+11
1/1/2020,7194.89209,9553.125977,6914.996094,9350.529297,9350.529297,8.53E+11
2/1/2020,9346.357422,10457.62695,8492.932617,8599.508789,8599.508789,1.16E+12
3/1/2020,8599.758789,9167.695313,4106.980957,6438.644531,6438.644531,1.29E+12
4/1/2020,6437.319336,9440.650391,6202.373535,8658.553711,8658.553711,1.16E+12
5/1/2020,8672.782227,9996.743164,8374.323242,9461.058594,9461.058594,1.29E+12
6/1/2020,9463.605469,10199.56543,8975.525391,9137.993164,9137.993164,6.51E+11
7/1/2020,9145.985352,11415.86426,8977.015625,11323.4668,11323.4668,5.46E+11
8/1/2020,11322.57031,12359.05664,11012.41504,11680.82031,11680.82031,7.08E+11
9/1/2020,11679.31641,12067.08106,9916.493164,10784.49121,10784.49121,1.08E+12
10/1/2020,10795.25488,14028.21387,10416.68945,13780.99512,13780.99512,1.05E+12
11/1/2020,13780.99512,19749.26367,13243.16016,19625.83594,19625.83594,1.09E+12
12/1/2020,19633.76953,29244.87695,17619.5332,29001.7207,29001.7207,1.21E+12
1/1/2021,28994.00977,41946.73828,28722.75586,33114.35938,33114.35938,2.15E+12
2/1/2021,33114.57813,58330.57031,32384.22852,45137.76953,45137.76953,2.27E+12
3/1/2021,45159.50391,61683.86328,45115.09375,58918.83203,58918.83203,1.68E+12
4/1/2021,58926.5625,64863.09766,47159.48438,57750.17578,57750.17578,1.84E+12
5/1/2021,57714.66406,59519.35547,30681.49609,37332.85547,37332.85547,1.98E+12
6/1/2021,37293.79297,41295.26953,28893.62109,35040.83594,35040.83594,1.19E+12
7/1/2021,35035.98438,42235.54688,29360.95508,41626.19531,41626.19531,8.19E+11
8/1/2021,41460.84375,50482.07813,37458.00391,47166.6875,47166.6875,1.01E+12
9/1/2021,47099.77344,52853.76563,39787.60938,43790.89453,43790.89453,1.10E+12
10/1/2021,43816.74219,66930.39063,43320.02344,61318.95703,61318.95703,1.15E+12
11/1/2021,61320.44922,68789.625,53569.76563,57005.42578,57005.42578,1.05E+12
12/1/2021,56907.96484,59041.68359,42874.61719,46306.44531,46306.44531,9.57E+11
1/1/2022,46311.74609,47881.40625,33184.05859,38483.125,38483.125,9.24E+11
2/1/2022,38481.76563,45661.17188,34459.21875,43193.23438,43193.23438,6.71E+11
3/1/2022,43194.50391,48086.83594,37260.20313,45538.67578,45538.67578,8.31E+11
4/1/2022,45554.16406,47313.47656,37697.94141,37714.875,37714.875,8.30E+11
5/1/2022,37713.26563,39902.94922,30296.95313,30296.95313,30296.95313,3.29E+11
5/10/2022,30405.37305,32561.98438,29961.92578,31136.32227,31136.32227,60542373888
